cve,epss,ranking_epss
CVE-2023-22580,0.00088,0.26284
CVE-2021-21388,0.00617,0.69059
CVE-2020-8131,0.00897,0.7486
CVE-2021-43861,0.00493,0.64796
CVE-2022-29247,0.00388,0.59205
CVE-2023-47108,0.02678,0.85303
CVE-2024-43787,0.00021,0.03965
CVE-2020-8244,0.00368,0.58022
CVE-2023-32313,0.00653,0.70054
CVE-2025-25283,0.00136,0.34195
CVE-2022-24771,0.00089,0.26515
CVE-2025-9910,0.00037,0.10173
CVE-2023-29003,0.00477,0.64135
CVE-2024-47068,0.00058,0.18407
CVE-2022-24441,0.01462,0.80222
CVE-2020-28459,0.00222,0.44869
CVE-2021-38384,0.00328,0.55126
CVE-2021-32013,0.00212,0.43829
CVE-2022-0691,0.00109,0.29924
CVE-2021-43138,0.00907,0.75006
CVE-2023-46298,0.00359,0.57394
CVE-2017-16224,0.00215,0.44171
CVE-2024-28245,0.00053,0.16716
CVE-2021-32012,0.00212,0.43829
CVE-2024-34343,0.00125,0.32604
CVE-2020-28499,0.00541,0.66738
CVE-2023-29641,0.0044,0.62388
CVE-2024-43799,0.00063,0.20053
CVE-2025-24964,0.00059,0.18819
CVE-2023-44402,0.00115,0.30929
CVE-2020-7735,0.0271,0.85389
CVE-2022-24773,0.00053,0.16703
CVE-2025-57350,0.00046,0.13751
CVE-2018-14040,0.00811,0.73451
CVE-2023-0163,0.00131,0.33542
CVE-2023-26117,0.00292,0.52255
CVE-2024-29041,0.00043,0.12602
CVE-2024-30260,0.00166,0.38282
CVE-2016-7103,0.01383,0.79662
CVE-2021-4307,0.00157,0.37253
CVE-2018-1000006,0.9209,0.99697
CVE-2019-11002,0.00244,0.47688
CVE-2020-7661,0.00817,0.73567
CVE-2023-45143,0.00078,0.24122
CVE-2018-1002204,0.17577,0.94866
CVE-2024-45801,0.0009,0.26675
CVE-2021-3749,0.0837,0.91965
CVE-2021-39134,0.01288,0.78967
CVE-2018-3712,0.00714,0.7155
CVE-2024-4068,0.00225,0.45187
CVE-2021-42357,0.15929,0.9453
CVE-2021-27292,0.0035,0.56854
CVE-2023-5157,0.00204,0.42793
CVE-2024-46993,0.00021,0.04082
CVE-2023-29017,0.78375,0.98998
CVE-2025-29744,0.00032,0.07814
CVE-2024-30261,0.00175,0.39414
CVE-2022-37611,0.00116,0.31091
CVE-2021-3163,0.00496,0.6488
CVE-2022-37616,0.01216,0.78352
CVE-2021-29469,0.00622,0.69232
CVE-2022-1650,0.02661,0.8526
CVE-2024-57080,0.00263,0.49635
CVE-2023-45133,0.00067,0.21292
CVE-2022-21680,0.0049,0.64664
CVE-2022-0437,0.12079,0.93569
CVE-2025-32014,0.00123,0.32245
CVE-2018-1000118,0.04546,0.88737
CVE-2025-48367,0.00039,0.1111
CVE-2020-7688,0.00191,0.41308
CVE-2023-26486,0.00169,0.38744
CVE-2020-8124,0.00055,0.17414
CVE-2013-7370,0.01082,0.77125
CVE-2013-7371,0.00579,0.67956
CVE-2021-32036,0.00159,0.37506
CVE-2025-56648,0.00014,0.01699
CVE-2022-29078,0.93462,0.99818
CVE-2019-20920,0.00343,0.56281
CVE-2020-7793,0.03843,0.87731
CVE-2018-19056,0.00223,0.4503
CVE-2025-7338,0.00018,0.03192
CVE-2020-8132,0.00459,0.63251
CVE-2019-16776,0.00403,0.60128
CVE-2017-20162,0.00029,0.0667
CVE-2018-18399,0.01194,0.78173
CVE-2021-42581,0.00138,0.34598
CVE-2022-35915,0.004,0.59993
CVE-2024-57083,0.00054,0.17085
CVE-2015-8858,0.00902,0.74928
CVE-2024-42459,0.00074,0.2305
CVE-2019-15598,0.03754,0.87574
CVE-2022-25860,0.32332,0.96707
CVE-2020-15174,0.00189,0.41074
CVE-2019-10773,0.00571,0.67711
CVE-2022-4135,0.00099,0.28243
CVE-2020-7709,0.01043,0.76746
CVE-2022-30617,0.00381,0.58829
CVE-2018-6341,0.21109,0.95473
CVE-2022-41714,0.00082,0.25017
CVE-2025-4056,0.00025,0.05383
CVE-2022-1233,0.00249,0.48154
CVE-2021-23337,0.00859,0.7426
CVE-2014-6393,0.0029,0.52094
CVE-2024-21533,0.00047,0.14261
CVE-2025-32996,0.0003,0.07288
